[DEBUG] 20:43:06:655 FM9/(6301:6340): Escuchando a cpu
[DEBUG] 20:43:09:928 FM9/(6301:6340): Handshake de: d
[DEBUG] 20:43:09:928 FM9/(6301:6340): Se agrego a las conexiones d
[DEBUG] 20:43:12:579 FM9/(6301:6353): Escuchando a cpu
[DEBUG] 20:43:15:545 FM9/(6301:6353): Handshake de: c
[DEBUG] 20:43:15:545 FM9/(6301:6353): Se agrego a las conexiones c
[DEBUG] 20:44:40:261 FM9/(6445:6463): Escuchando a cpu
[DEBUG] 20:44:41:939 FM9/(6445:6463): Handshake de: d
[DEBUG] 20:44:41:939 FM9/(6445:6463): Se agrego a las conexiones d
[DEBUG] 20:44:45:581 FM9/(6445:6476): Escuchando a cpu
[DEBUG] 20:45:10:491 FM9/(6445:6476): Handshake de: c
[DEBUG] 20:45:10:491 FM9/(6445:6476): Se agrego a las conexiones c
[DEBUG] 20:45:12:143 FM9/(6445:6478): Handshake de: ·
[ERROR] 20:45:12:143 FM9/(6445:6478): Conexion rechazada
[DEBUG] 20:45:12:143 FM9/(6445:6478): Se agrego a las conexiones ·
[DEBUG] 20:00:16:580 FM9/(4797:4808): Handshake de: d
[DEBUG] 20:00:16:581 FM9/(4797:4808): Se agrego a las conexiones d
[DEBUG] 20:00:16:593 FM9/(4797:4813): Escuchando nuevo cliente en 5
[DEBUG] 20:00:18:438 FM9/(4797:4808): Handshake de: c
[DEBUG] 20:00:18:438 FM9/(4797:4808): Se agrego a las conexiones c
[DEBUG] 20:00:18:456 FM9/(4797:4818): Escuchando nuevo cliente en 6
[ERROR] 20:00:41:537 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:548 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:549 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:574 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:575 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:576 FM9/(4797:4809): Header desconocido
[ERROR] 20:00:41:577 FM9/(4797:4809): Header desconocido
